DataHora,Configuração,Modelo,Acc,Precision,Recall,F1
2025-08-05 15:59:37,"MobileNetV2 Fine-Tuning (31 camadas treináveis, 123 congeladas)",Keras,1.0,1.0,1.0,1.0
2025-08-05 15:59:37,"MobileNetV2 Fine-Tuning (31 camadas treináveis, 123 congeladas)",TFLite,1.0,1.0,1.0,1.0
2025-08-05 21:30:10,"MobileNetV2 Fine-Tuning (31 camadas treináveis, 123 congeladas)",380,Keras,0.4131578803062439,0.4507462686567164,0.7947368421052632,0.5752380952380952
2025-08-05 21:30:10,"MobileNetV2 Fine-Tuning (31 camadas treináveis, 123 congeladas)",380,TFLite,0.4105263157894737,0.4484848484848485,0.7789473684210526,0.5692307692307692
2025-08-06 15:39:11,"MobileNetV2 Fine-Tuning (31 camadas treináveis, 123 congeladas)",8018,Keras,1.0,1.0,1.0,1.0
2025-08-06 15:39:11,"MobileNetV2 Fine-Tuning (31 camadas treináveis, 123 congeladas)",8018,TFLite,1.0,1.0,1.0,1.0
2025-08-17 14:19:58,"MobileNetV2 Fine-Tuning (31 camadas treináveis, 123 congeladas)",738,Keras,0.23170731961727142,0.08775137111517367,0.41379310344827586,0.14479638009049775
2025-08-17 14:19:58,"MobileNetV2 Fine-Tuning (31 camadas treináveis, 123 congeladas)",738,TFLite,0.23170731707317074,0.08623853211009175,0.4051724137931034,0.1422087745839637
2025-08-17 14:27:33,"MobileNetV2 Fine-Tuning (31 camadas treináveis, 123 congeladas)",738,Keras,0.23170731961727142,0.08775137111517367,0.41379310344827586,0.14479638009049775
2025-08-17 14:27:33,"MobileNetV2 Fine-Tuning (31 camadas treináveis, 123 congeladas)",738,TFLite,0.23170731707317074,0.08623853211009175,0.4051724137931034,0.1422087745839637
2025-08-17 16:13:16,"MobileNetV2 Fine-Tuning (31 camadas treináveis, 123 congeladas)",53451,Keras,0.0,0.0,0.0,0.0
2025-08-17 16:13:16,"MobileNetV2 Fine-Tuning (31 camadas treináveis, 123 congeladas)",53451,TFLite,0.0,0.0,0.0,0.0
2025-08-18 13:11:28,"MobileNetV2 Fine-Tuning (31 camadas treináveis, 123 congeladas)",7270,Keras (Flame2),0.9048143053645117,0.7661069894572433,0.9547445255474453,0.8500866551126517,0.9623349266223906,0.9695309492383234
2025-08-18 13:11:28,"MobileNetV2 Fine-Tuning (31 camadas treináveis, 123 congeladas)",7270,TFLite (Flame2),0.9235213204951856,0.810351966873706,0.9523114355231144,0.8756152125279643,0.9635572102744983,0.9696429505229245
2025-08-18 13:55:52,"MobileNetV2 Fine-Tuning (31 camadas treináveis, 123 congeladas)",7270,Keras (Flame2),0.9048143053645117,0.7661069894572433,0.9547445255474453,0.8500866551126517,0.9623349266223906,0.9695309492383234
2025-08-18 13:55:52,"MobileNetV2 Fine-Tuning (31 camadas treináveis, 123 congeladas)",7270,TFLite (Flame2),0.9235213204951856,0.810351966873706,0.9523114355231144,0.8756152125279643,0.9635572102744983,0.9696429505229245
